Brand,Screen_Size,RAM,Processor,GPU,Price,,
Panasonic,10.1,16,Intel Core i5 7th Gen.,Intel HD Graphics 615,669,,
Dell,14,16,Intel Core i5 8th Gen.,Intel UHD Graphics 620,189.99,,
HP,16,16,Intel Core i5 13th Gen.,NVIDIA GeForce RTX 4050,699.99,,
Asus,13.4,16,AMD Ryzen 9 7000 Series,AMD Radeon Graphics,868.88,,
Microsoft,13,16GB,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,559,,
LG,17,16,Intel Core i7 10th Gen.,Intel Iris Plus Graphics G7,419.99,,
MSI,15.6,8,Intel Core i5 11th Gen.,NVIDIA GeForce GTX 1650,528.95,,
HP,15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,309.95,,
Samsung,15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,489.99,,
Lenovo,14,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,600,,
Samsung,15.6,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,603.99,,
Asus,14,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,475,,
HP,15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,352.85,,
Microsoft,15,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,649,,
Lenovo,14,16,Intel Core i7 8th Gen.,Intel UHD Graphics 620,249.99,,
Dell,14,16,Intel Core i7 12th Gen.,NVIDIA RTX A1000,589,,
Lenovo,15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,329.99,,
Dell,15.6,16,Intel Core i9 9th Gen.,NVIDIA Quadro T2000,499,,
Lenovo,14,24,Intel Core i5 11th Gen.,,449.99,,
Dell,15.6,16,Intel Core i5 8th Gen.,Intel UHD Graphics,231.99,,
Lenovo,14,16,Intel Core i5 10th Gen.,Intel UHD Graphics,404.96,,
Lenovo,15.6,8,Intel Core i5 12th Gen.,,344.99,,
Dell,14,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,329.99,,
Microsoft,15,16,Intel Core i7 10th Gen.,NVIDIA GeForce GTX 1660 Ti,599.99,,
Dell,15.6,8,Intel Core i5 7th Gen.,Intel HD Graphics 630,179.99,,
Lenovo,15.6,32,Intel Core i7 8th Gen.,NVIDIA Quadro P500,399.99,,
Dell,13.4,16,Intel Core i7 10th Gen.,Intel Iris Plus Graphics.,409.99,,
Dell,15.6,8,Intel Core i5 11th Gen.,Intel UHD Graphics,105.5,,
LG,17,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,499,,
Microsoft,12,4,Intel Core i5 4th Gen.,Intel HD Graphics,159.99,,
Lenovo,15.6,16,Intel Core i3 11th Gen.,Intel UHD Graphics,394.99,,
Dell,14,16,Intel Core i7 13th Gen.,,675,,
Samsung,13.3,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,789.99,,
Dell,15.6,8,Intel Core i5 12th Gen.,Intel UHD Graphics,399,,
Dell,14,64,Intel Core i7 8th Gen.,Intel UHD Graphics 620,399.99,,
Dell,15.6,16,Intel Core i5 10th Gen.,Intel UHD Graphics,399.99,,
Dell,14,32,Intel Core i7 8th Gen.,Intel HD Graphics 620,389.99,,
Lenovo,14,32,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,969.99,,
Dell,15.6,8,Intel Core i5 11th Gen.,Intel UHD Graphics,398.75,,
Dell,15.6,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,369.99,,
Lenovo,14,16,Intel Core i5 8th Gen.,Intel UHD Graphics,249.99,,
Samsung,13.3,8,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,489.99,,
Dell,14,64,Intel Core i5 8th Gen.,Intel UHD Graphics 620,249.99,,
HP,14,16,Intel Core i5 10th Gen.,Intel UHD Graphics,518,,
LG,17,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,669,,
Samsung,13.3,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,439.99,,
Dell,14,16,Intel Core i7 13th Gen.,Intel UHD Graphics,499,,
