Brand,Screen_Size,RAM,Processor,GPU,Price,,
HP,14,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,449.95,,
Dell,14,16,Intel Core i5 12th Gen.,,694.99,,
Lenovo,13,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,700,,
Asus,15.6,8,Intel Core i3 12th Gen.,,549,,
Dell,13.3,16,Intel Core i7 8th Gen.,Intel UHD Graphics 620,239.99,,
Dell,15.6,16,Intel Core i5 8th Gen.,Intel UHD Graphics,448,,
Asus,15.6,8,Intel Core i3 10th Gen.,Intel FHD Graphics,337.49,,
Asus,15.6,8,Intel Core i3 12th Gen.,Intel UHD Graphics,412.49,,
Lenovo,14,16,Intel Core i5 10th Gen.,,369.99,,
HP,14,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,215.95,,
Dell,13.3,32,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,299.99,,
Dell,15.6,16,Intel Core i5 8th Gen.,Intel UHD Graphics 620,279.99,,
HP,14,16,Intel Core i7 11th Gen.,,849.95,,
Lenovo,14,16,Intel Core i7 11th Gen.,Intel(R) Iris(R) Xe Graphics,469.99,,
Dell,14,16,Intel Core i5 8th Gen.,,234.06,,
Dell,13.3,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,383.49,,
Dell,14,8,Intel Core i5 4th Gen.,Intel HD Graphics,161.95,,
MSI,15.6,16,Intel Core i7 12th Gen.,NVIDIA GeForce RTX 4060,949.99,,
Microsoft,12.4,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,385,,
Lenovo,14,8,Intel Core i5 10th Gen.,Intel UHD Graphics,269.95,,
HP,14,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,499.99,,
Lenovo,14,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,471.75,,
Dell,13.4,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,881.27,,
Dell,15.6,8,Intel Core i3 4th Gen.,Intel HD Graphics,169,,
Dell,15.6,16,Intel Core i5 6th Gen.,AMD R7,274.99,,
Lenovo,14.5,8,Intel Core i5 6th Gen.,Intel(R) HD Graphics 520,135.99,,
Microsoft,12,8,Intel Core i7 4th Gen.,Intel HD Graphics,345,,
Dell,15.6,16,Intel Core i5 8th Gen.,Intel UHD Graphics,419.99,,
Lenovo,14,8,Intel Core i5 6th Gen.,Intel HD Graphics,242.95,,
Lenovo,14,32,Intel Core i7 7th Gen.,,399.99,,
Dell,13,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,699,,
Acer,17.3,8,Intel Core i5 12th Gen.,,650,,
Lenovo,15.6,16,Intel Core i9 9th Gen.,NVIDIA Quadro RTX 4000,639.99,,
Dell,14,16,Intel Core i7 10th Gen.,Intel UHD Graphics,379.99,,
HP,13.3,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,328.46,,
Dell,14,8,Intel Core i5 10th Gen.,Intel UHD Graphics,269.95,,
Dell,15.6,16,Intel Core i5 8th Gen.,Intel UHD Graphics 620,251.95,,
Lenovo,13.3,16,Intel Core i5 8th Gen.,Intel(R) UHD Graphics 620,195.99,,
Lenovo,14,32,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,599.99,,
Dell,15.6,64,Intel Core i7 12th Gen.,NVIDIA T550,699,,
Dell,13.3,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,159.99,,
Microsoft,13,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,839,,
Asus,14.5,8,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,569.99,,
Lenovo,14,16,Intel Core i7 10th Gen.,NVIDIA GeForce MX350,631.49,,
Dell,15.6,16,Intel Core i5 6th Gen.,Intel HD Graphics 530,229,,
HP,15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,449.99,,
Dell,14,16,Intel Core i7 11th Gen.,Intel Iris XE Graphics,499.99,,
Dell,13.3,8,Intel Core i7 6th Gen.,Intel HD Graphics,239,,
Acer,15.6,16,Intel Core i7 12th Gen.,nVidia GeForce RTX 3060,749.95,,
Dell,14,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,549.99,,
HP,15.6,32,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,514.99,,
Dell,13,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,919.99,,
Lenovo,15.3,8,Intel Core i7 8th Gen.,Intel UHD Graphics 620,424.15,,
Dell,15.6,12,Intel Core i5 11th Gen.,Intel UHD Graphics,399.99,,
Lenovo,12.5,8GB,Intel Core i5 4th Gen.,,139.99,,
Lenovo,14,8,Intel Core i5 5th Gen.,Intel HD Graphics 4400,89,,
Dell,13.3,16,Intel Core i7 8th Gen.,,337.46,,
HP,15.6,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,558.95,,
Acer,17.3,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,470,,
HP,13.5,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,774.99,,
Dell,14,32,Intel Core i5 8th Gen.,Intel UHD Graphics 620,269.99,,
HP,15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,403.26,,
Lenovo,15.6,8,Intel Core i5 10th Gen.,Intel UHD Graphics,305.99,,
Dell,17.3,16,Intel Core i7 10th Gen.,NVIDIA GeForce MX250,529,,
Acer,15.6,8,Intel Core i5 10th Gen.,,377.64,,
Dell,16,8,Intel Core i5 12th Gen.,Intel UHD Graphics,489,,
Microsoft,13.5,16,Intel Core i7 10th Gen.,Intel(R) Iris(R) Plus Graphics,378.99,,
HP,16.1,8,Intel Core i5 11th Gen.,NVIDIA GeForce RTX 3050,589.25,,
HP,14,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,439.99,,
Microsoft,12.4,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,449,,
Chuwi,14,8,Intel Core i5 8th Gen.,Intel Iris Plus Graphics 655 GPU,269.99,,
HP,17.3,32,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,699.99,,
HP,15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,699,,
Dell,14,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,396.37,,
Lenovo,15.6,8,Intel Core i7 12th Gen.,,751.06,,
Dell,12.3,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,299.49,,
HP,15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,513,,
Dell,14,32,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,424.95,,
Lenovo,14,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,679,,
Lenovo,15.6,16,Intel Core i5 13th Gen.,NVIDIA GeForce RTX 3050,650,,
Lenovo,14,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,849.95,,
LG,16,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,859.99,,
HP,15.6,8,Intel Core i5 10th Gen.,NVIDIA GeForce GTX 1050,514.41,,
Lenovo,14,16,Intel Core i7 11th Gen.,Intel UHD Graphics,704.06,,
Microsoft,14.4,32,Intel Core i7 11th Gen.,NVIDIA GeForce RTX 3050 Ti,469.99,,
HP,12.5,8,Intel Core i5 4th Gen.,Intel HD Graphics,199,,
Dell,15.6,8,Intel Core i3 11th Gen.,,299,,
Microsoft,13.5,8,Intel Core i5 10th Gen.,,379.99,,
MSI,15.6,16,Intel Core i5 11th Gen.,NVIDIA GeForce RTX 3050,559.99,,
Dell,14,32,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,789.99,,
Microsoft,13.5,8,Intel Core i7 12th Gen.,Intel(R) Iris(R) Xe Graphics,572.99,,
Dell,13.4,32,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,759.99,,
Lenovo,14,8gb,Intel Core i7 8th Gen.,Intel UHD Graphics 620,399.99,,
Lenovo,14,8,Intel Core i5 10th Gen.,Intel UHD Graphics,299.99,,
HP,14,8,Intel Core i3 11th Gen.,Intel UHD Graphics,298.95,,
Asus,13.3,8,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,680,,
Dell,14,32,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,429.99,,
HP,15.6,8,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,699.99,,
HP,14,8,Intel Core i5 8th Gen.,Intel HD Graphics 620,219.99,,
Dell,14,4GB,Intel Core i5 8th Gen.,Intel(R) UHD Graphics,148.99,,
Lenovo,16,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,525,,
Lenovo,15.6,8,Intel Core i3 12th Gen.,Intel UHD Graphics,304.99,,
Lenovo,14,16,Intel Core i5 10th Gen.,Intel UHD Graphics,400,,
Lenovo,13.3,16,Intel Core i5 11th Gen.,Intel Core i5 11th Gen.,485,,
Lenovo,14,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,589.99,,
Dell,14,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,399.99,,
Dell,14,16,Intel Core i7 9th Gen.,Intel UHD Graphics 630,289.99,,
LG,17,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,703,,
Dell,14,32,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,290,,
Samsung,15.6,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,549.99,,
Dell,13.4,8,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,539.99,,
Samsung,15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,599.99,,
Dell,16,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,975,,
Lenovo,14,4,Intel Core i3 11th Gen.,Intel UHD Graphics,314.99,,
Dell,14,64,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,249.99,,
Dell,14,16,Intel Core i5 8th Gen.,Intel HD Graphics 620,249,,
Dell,15.6,64,Intel Core i7 13th Gen.,"NVIDIA RTX A1000, 6 GB GDDR6",999.99,,
Microsoft,13.5,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,695,,
Asus,15.6,8,Intel Core i5 11th Gen.,NVIDIA GeForce RTX 3050,599.99,,
Dell,14,16,Intel Core i7 9th Gen.,Intel UHD Graphics 630,319.99,,
Dell,14,64,Intel Core i7 10th Gen.,Intel UHD Graphics,579.99,,
Dell,13.3,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,379,,
HP,14,16,Intel Core i5 10th Gen.,Intel UHD Graphics,471.75,,
Dell,15.6,16,Intel Core i7 13th Gen.,NVIDIA GeForce RTX 4060,979.99,,
Dell,15.6,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,299,,
Lenovo,14,32,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,839.99,,
Dell,13.3,16,Intel Core i7 8th Gen.,,328.06,,
Dell,12.3,8,Intel Core i5 8th Gen.,Intel(R) UHD Graphics 620,153.99,,
HP,14,16,Intel Core i3 11th Gen.,Intel UHD Graphics,429,,
Dell,15.6,32,Intel Core i7 9th Gen.,NVIDIA Quadro T2000,619,,
HP,14,8,Intel Core i7 11th Gen.,NVIDIA T500,377.99,,
Lenovo,16,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,589.99,,
HP,14,8,Intel Core i5 7th Gen.,Intel HD Graphics 620,287.95,,
Dell,14,16,Intel Core i7 12th Gen.,Intel HD Graphics,400,,
Microsoft,13.5,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,719.99,,
Dell,15.6,64,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,880,,
Lenovo,14,8,Intel Core i5 11th Gen.,Intel(R) Iris(R) Xe Graphics,323.96,,
Samsung,15.6,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,769.99,,
Lenovo,13.3,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,699.99,,
HP,14,8,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,589,,
Samsung,13.3,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,560,,
Dell,13.3,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,499.99,,
Lenovo,15,8,Intel Core i7 8th Gen.,NVIDIA Quadro P2000,425.99,,
Dell,14,16,Intel Core i7 12th Gen.,Intel(R) Iris(R) Xe Graphics,499.99,,
HP,14,64,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,699,,
Dell,14,16,Intel Core i5 10th Gen.,,449.99,,
Dell,14,64,Intel Core i7 7th Gen.,Intel HD Graphics 620,239.95,,
HP,15.6,16,Intel Core i3 11th Gen.,Intel UHD Graphics,409.99,,
Dell,14,32,Intel Core i7 11th Gen.,NVIDIA T500 4GB GDDR6,999.99,,
Microsoft,12.3,8,Intel Core i5 8th Gen.,Intel(R) UHD Graphics 620,195.99,,
Lenovo,15.6,8,Intel Core i3 12th Gen.,Intel UHD Graphics,499.88,,
Dell,14,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,300,,
Lenovo,13.5,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,666,,
Lenovo,14,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,549.99,,
Lenovo,15.6,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,314.96,,
Sony,14.1,8,Intel Core i5 12th Gen.,Intel UHD Graphics,339.99,,
LG,14,16,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,510,,
HP,13.5,16,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,724.99,,
Dell,15.6,16,Intel Core i7 11th Gen.,NVIDIA GeForce RTX 3050 Ti,899.99,,
HP,14,8,Intel Core i5 11th Gen.,,484.99,,
Dell,14,16,Intel Core i7 8th Gen.,Intel UHD Graphics,229,,
HP,12.5,8,Intel Core i5 4th Gen.,Intel HD Graphics,185,,
HP,16.1,16,Intel Core i7 13th Gen.,NVIDIA GeForce RTX 3060,816.66,,
HP,15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,469.99,,
HP,15.6,16,Intel Core i5 11th Gen.,Intel UHD Graphics,365,,
Dell,15.6,16,Intel Core i7 8th Gen.,NVIDIA Quadro P1000,395.96,,
Lenovo,13.3,16,Intel Core i7 10th Gen.,Intel UHD Graphics,399.99,,
Dell,15.6,16,Intel Core i7 10th Gen.,NVIDIA GeForce RTX 2070 Super,666.99,,
MSI,15.6,16,Intel Core i5 12th Gen.,NVIDIA GeForce RTX 4050,729.99,,
Lenovo,14,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,849.95,,
HP,15.6,64,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,510,,
Lenovo,15.6,16,Intel Core i7 12th Gen.,NVIDIA GeForce RTX 3060 Laptop GPU,829.99,,
HP,13.3,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,385.97,,
Dell,14,8,Intel Core i5 10th Gen.,Intel UHD Graphics,399.99,,
HP,17.3,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,949.95,,
Lenovo,15.6,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,781.79,,
ByteSpeed,15.6,16,Intel Core i5 8th Gen.,Intel UHD Graphics 620,199.99,,
Dell,15.6,8,Intel Core i5 12th Gen.,,449,,
Dell,14,32,Intel Core i3 7th Gen.,Intel HD Graphics,649.99,,
Dell,14,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,459.99,,
HP,17.3,16,Intel Core i7 11th Gen.,,998,,
HP,17.3,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,899.99,,
Dell,13.3,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,180.49,,
Dell,14,8,Intel Core i5 8th Gen.,Intel HD Graphics,251.95,,
Lenovo,14,8,Intel Core i5 6th Gen.,Intel HD Graphics 620,242.95,,
Dell,14,8,Intel Core i5 6th Gen.,,199.99,,
Lenovo,14,8,Intel Core i7 7th Gen.,Intel HD Graphics,283.45,,
Lenovo,14,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,169.99,,
Dell,12.3,8,Intel Core i5 8th Gen.,,279,,
Dell,14,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,839.99,,
Dell,14,16,Intel Core i7 6th Gen.,Intel HD Graphics 520,249.99,,
HP,14,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,799.95,,
Asus,15.6,8,Intel Core i3 11th Gen.,,374.99,,
Dell,15.6,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,269.95,,
Lenovo,14,32,Intel Core i7 7th Gen.,,349.99,,
Dell,14,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,599.99,,
Asus,14,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,535,,
Samsung,13.3,8,Intel Core i5 10th Gen.,Intel UHD Graphics 620,700,,
Dell,13.3,16,Intel Core i5 8th Gen.,Intel UHD Graphics 620,247.45,,
Microsoft,15,16,Intel Core i7 11th Gen.,Intel(R) Iris(R) Xe Graphics,457.99,,
Dell,13,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,489,,
Asus,15.6,8,Intel Core i3 12th Gen.,,549,,
Dell,15.6,8,Intel Core i5 12th Gen.,Intel UHD Graphics,472.22,,
Dell,14,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,469,,
Lenovo,14,16,AMD Ryzen 7 7000 Series,AMD Radeon Graphics,959.64,,
Dell,15.6,32,Intel Core i9 9th Gen.,NVIDIA Quadro T2000,549,,
Lenovo,14,16,Intel Core i5 8th Gen.,Intel UHD Graphics 620,323.96,,
Lenovo,14,8,Intel Core i5 8th Gen.,AMD Radeon 540X,269.95,,
Dell,14,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,999.99,,
Dell,14,32,Intel Core i7 10th Gen.,,445.99,,
Dell,15.6,32,Intel Core i7 13th Gen.,"NVIDIA RTX A1000, 6 GB GDDR6",499.99,,
Microsoft,13.5,8,Intel Core i5 8th Gen.,Intel Intel Uhd Graphics 620,270,,
Dell,14,16,Intel Core i3 11th Gen.,Intel(R) UHD Graphics,268.99,,
Lenovo,15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,289,,
Samsung,15.6,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,800,,
HP,17.3,8,Intel Core i5 12th Gen.,,569,,
Dell,14,16,Intel Core i5 8th Gen.,Intel UHD Graphics 620,242.95,,
Dell,15.6,64,Intel Core i7 10th Gen.,NVIDIA Quadro T1000 4GB GDDR6,99.99,,
HP,15.6,8,Intel Core i3 12th Gen.,Intel UHD Graphics,300,,
HP,15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,429.95,,
Dell,14,32,Intel Core i7 8th Gen.,Intel UHD Graphics 620,319.99,,
Dell,14,4,Intel Core i5 8th Gen.,Intel Corporation UHD Graphics 620,299,,
Dell,15.6,32,Intel Core i5 11th Gen.,,516.06,,
Lenovo,14,8,Intel Core i5 8th Gen.,AMD Radeon 540X,292.46,,
Dell,15.6,16,Intel Core i5 12th Gen.,,499,,
Dell,13.3,32,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,0,,
Lenovo,15.6,32,Intel Core i7 11th Gen.,NVIDIA Quadro T500,938.59,,
Dell,15.6,32,Intel Core i5 10th Gen.,NVIDIA Quadro T2000 4GB GDDR6,599.99,,
Dell,15.6,16,Intel Core i9 9th Gen.,NVIDIA Quadro T2000,499,,
Dell,13,8,Intel Core i5 10th Gen.,Intel(R) UHD Graphics,373.99,,
Dell,17.3,32,Intel Core i9 8th Gen.,NVIDIA GeForce GTX 1080,785.99,,
Dell,15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,289.99,,
Dell,15.6,16,Intel Core i7 13th Gen.,,889.99,,
Dell,16,16,Intel Core i7 12th Gen.,NVIDIA GeForce MX550,459.99,,
Dell,13.3,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,499.99,,
HP,15.6,8,Intel Core i5 6th Gen.,Intel HD Graphics,233.95,,
Microsoft,13,32,Intel Core i7 12th Gen.,Intel(R) Iris(R) Xe Graphics,815.99,,
HP,13.5,32,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,849,,
HP,14,16,Intel Core i5 10th Gen.,Intel(R) UHD Graphics,281.99,,
Dell,15.6,64,Intel Core i7 12th Gen.,NVIDIA RTX A1000 4GB,699.99,,
Asus,15.6,16,Intel Core i7 8th Gen.,NVIDIA® GeForce RTX™ 2080 with Max-Q Design,950,,
Lenovo,14,8,Intel Core i3 12th Gen.,Intel UHD Graphics,349.99,,
Sony,14.1,16,Intel Core i5 12th Gen.,Intel® Iris® Xe Graphic,589,,
Microsoft,15,8,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,842.98,,
Asus,14,12,Intel Core i3 11th Gen.,Intel UHD Graphics,219.99,,
Lenovo,14,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,190,,
HP,14,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,224.95,,
Dell,15.6,16,Intel Core i7 10th Gen.,NVIDIA GeForce GTX 1650 Ti,499,,
Samsung,14,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,849.99,,
HP,14,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,499,,
Asus,17.3,8,Intel Core i5 12th Gen.,Intel UHD Graphics,400,,
Lenovo,14,8,Intel Core i5 10th Gen.,Intel UHD Graphics,288.97,,
Dell,14,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,879.99,,
Lenovo,15.6,16,Intel Core i7 12th Gen.,NVIDIA GeForce RTX 3050 Ti,799.99,,
Dell,14,8,Intel Core i5 6th Gen.,,215,,
HP,14,8,Intel Core i3 11th Gen.,Intel UHD Graphics,289.98,,
Microsoft,12.4,8,Intel Core i5 10th Gen.,Intel UHD Graphics,379.99,,
HP,14.1,16,Intel Core i7 6th Gen.,Intel HD Graphics 520,321.19,,
Lenovo,16,8,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,400,,
Dell,15.6,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,499.99,,
Dell,15.6,32,Intel Core i5 8th Gen.,Intel UHD Graphics,328.06,,
Asus,17.3,8,Intel Core i5 12th Gen.,,340,,
Dell,14,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,799.99,,
Microsoft,13.5,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,749.95,,
HP,14,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,405,,
Dell,14,16,Intel Core i7 8th Gen.,Intel UHD Graphics 620,389,,
Samsung,13.3,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,483.99,,
Lenovo,14,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,525,,
Asus,15.6,16,Intel Core i7 13th Gen.,NVIDIA GeForce RTX 3050,869.99,,
Dell,17.3,16,Intel Core i7 10th Gen.,NVIDIA GeForce RTX 2070,749,,
Dell,14,4,Intel Core i5 10th Gen.,Intel UHD Graphics,299.99,,
Dell,14,32,Intel Core i7 11th Gen.,NVIDIA T500 4GB GDDR6,199.99,,
Lenovo,13.3,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,260.95,,
Dell,13.4,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,539.99,,
HP,15.6,16,Intel Core i7 5th Gen.,Intel HD Graphics,229,,
Dell,15.6,16,Intel Core i7 11th Gen.,NVIDIA RTX A2000 Laptop GPU,841.99,,
Lenovo,14,8,Intel Core i3 12th Gen.,Intel UHD Graphics,379.99,,
Dell,15.6,32,Intel Core i7 10th Gen.,NVIDIA Quadro P620,551.8,,
HP,14,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,539.96,,
Dell,15.6,16,Intel Core i7 13th Gen.,NVIDIA GeForce RTX 3050 Ti,399,,
HP,13.3,8,Intel Core i7 8th Gen.,Integrated,399,,
HP,17.3,16,Intel Core i3 11th Gen.,Intel® UHD Graphics,449,,
HP,14,8,Intel Core i3 10th Gen.,Intel UHD Graphics,265,,
Lenovo,14,16,Intel Core i5 8th Gen.,Intel(R) UHD Graphics 620,249.99,,
Acer,14,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,339,,
HP,15.6,8,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,399,,
HP,15.6,8,AMD Ryzen 5 7000 Series,NVIDIA GeForce RTX 2050,558.88,,
HP,15.6,8,Intel Core i5 10th Gen.,Intel Iris Xe Graphics,639,,
HP,14,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,949.95,,
Lenovo,16,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,560,,
Dell,14,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,399.99,,
Lenovo,13.3,8,AMD Ryzen 5 6000 Series,AMD Radeon 660M,449.99,,
Dell,15.6,64,Intel Core i7 10th Gen.,,699,,
Microsoft,15,8,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,650,,
HP,17.3,12,Intel Core i3 11th Gen.,Intel UHD Graphics,298,,
Asus,15.6,8,Intel Core i5 12th Gen.,NVIDIA GeForce GTX 1650 Max-Q,649.99,,
Dell,14,16,Intel Core i7 7th Gen.,Intel Corporation HD Graphics 620,299.99,,
Dell,15.6,8,Intel Core i5 8th Gen.,Intel UHD Graphics,215.26,,
Lenovo,16,16,Intel Core i7 13th Gen.,,873.26,,
Microsoft,13.5,16,Intel Core i7 10th Gen.,,549.99,,
Dell,14,32,Intel Core i7 12th Gen.,Intel(R) Iris(R) Xe Graphics,649.99,,
Dell,15.6,64,Intel Core i7 11th Gen.,Intel UHD Graphics,549.99,,
HP,15.6,up,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,599,,
Dell,14,16,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,400,,
Microsoft,13.5,16,Intel Core i7 10th Gen.,Intel Iris Plus Graphics,574.99,,
Microsoft,13.5,16,Intel Core i7 7th Gen.,Intel Iris Plus Graphics 640,519.75,,
Dell,13,16,Intel Core i5 11th Gen.,,459.99,,
Dell,14,16,Intel Core i5 8th Gen.,,234.06,,
Samsung,16,16,Intel Core i7 13th Gen.,NVIDIA GeForce RTX 4050,289.49,,
Lenovo,15.6,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,350.96,,
HP,13.3,8,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,849.99,,
Dell,14,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,229.99,,
Dell,14,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,799.99,,
Lenovo,15.6,32,Intel Core i7 8th Gen.,NVIDIA Quadro P2000,481.46,,
MSI,17.3,16,Intel Core i9 12th Gen.,NVIDIA GeForce RTX 3060,939,,
HP,13.5,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,999.99,,
HP,17.3,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,505.75,,
Dell,14,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,990,,
Lenovo,15.6,32,Intel Core i7 12th Gen.,,845.06,,
Lenovo,15.6,64,Intel Core i7 10th Gen.,NVIDIA Quadro T2000 Max-Q,589.45,,
Acer,15.6,16,Intel Core i7 12th Gen.,NVIDIA GeForce RTX 4050,850,,
Dell,15.6,16,Intel Core i5 13th Gen.,NVIDIA RTX A500,899.99,,
Lenovo,17.3,8,Intel Core i3 12th Gen.,Intel UHD Graphics,385,,
Lenovo,13.3,16,Intel Core i7 11th Gen.,,704.06,,
Dell,14,8,Intel Core i5 12th Gen.,Intel UHD Graphics,509.99,,
Lenovo,14,8,Intel Core i3 11th Gen.,Intel UHD Graphics,334.15,,
Dell,13.4,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,799,,
Gateway,14.1,8,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,419.99,,
Lenovo,14,8,Intel Core i5 10th Gen.,Intel UHD Graphics,379.95,,
